"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"3-8220DB001377","1377","Hybreasal House","","53.339163","-6.304742","","","0","","Europe/Dublin","0","",""
"3-8220DB001378","1378","Mayfield Road","","53.338828","-6.301376","","","0","","Europe/Dublin","0","",""
"3-8220DB001379","1379","Rialto Luas","","53.33734","-6.299123","","","0","","Europe/Dublin","0","",""
"3-8220DB001380","1380","Rialto Church","","53.335641","-6.295977","","","0","","Europe/Dublin","0","",""
"3-8220DB001381","1381","Saint Andrews Centre","","53.335124","-6.293745","","","0","","Europe/Dublin","0","",""
"3-8220DB001382","1382","Dolphin's Barn","","53.333173","-6.290595","","","0","","Europe/Dublin","0","",""
"3-8220DB001383","1383","Dolphin Avenue","","53.332271","-6.286607","","","0","","Europe/Dublin","0","",""
"3-8220DB001384","1384","National Stadium","","53.331356","-6.282364","","","0","","Europe/Dublin","0","",""
"3-8220DB001385","1385","Griffith College","","53.3318","-6.278262","","","0","","Europe/Dublin","0","",""
"3-8220DB001386","1386","Parnell Road","","53.329553","-6.284448","","","0","","Europe/Dublin","0","",""
"3-8220DB001387","1387","Aughavannagh Road","","53.32804","-6.28673","","","0","","Europe/Dublin","0","",""
"3-8220DB001388","1388","Clogher Road","","53.32673","-6.29118","","","0","","Europe/Dublin","0","",""
"3-8220DB001389","1389","Sundrive Road","","53.325936","-6.295493","","","0","","Europe/Dublin","0","",""
"3-8220DB001391","1391","Clonmacnoise Road","","53.322822","-6.298364","","","0","","Europe/Dublin","0","",""
"3-8220DB001392","1392","Bangor Circle","","53.322491","-6.30162","","","0","","Europe/Dublin","0","",""
"3-8220DB001394","1394","Ferns Road","","53.323743","-6.296766","","","0","","Europe/Dublin","0","",""
"3-8220DB001395","1395","Saint Bernadette's","","53.324734","-6.296291","","","0","","Europe/Dublin","0","",""
"3-8220DB001396","1396","Kildare Park","","53.32487","-6.31484","","","0","","Europe/Dublin","0","",""
"3-8220DB001397","1397","Kildare Park","","53.325091","-6.313857","","","0","","Europe/Dublin","0","",""
"3-8220DB001398","1398","Windmill Road","","53.325301","-6.310276","","","0","","Europe/Dublin","0","",""
